Name,Points Per Game,Field Goal Percentage,Average 3-Point Field Goals Made,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
James Harden,34.4,43.5,4.4,86.1,6.4,7.4,1.7,0.9,4.5
Bradley Beal,30.5,45.5,3.0,84.2,4.2,6.1,1.2,0.4,3.4
Giannis Antetokounmpo,29.6,54.7,1.5,63.3,13.7,5.8,1.0,1.0,3.7
Trae Young,29.6,43.7,3.4,86.0,4.3,9.3,1.1,0.1,4.8
Damian Lillard,28.9,45.7,3.9,88.8,4.3,7.8,1.0,0.4,2.9
Luka Doncic,28.7,46.1,2.9,75.2,9.3,8.7,1.1,0.2,4.2
Russell Westbrook,27.5,47.4,1.0,77.7,8.0,7.0,1.7,0.3,4.5
Kawhi Leonard,26.9,46.8,2.1,88.9,7.3,5.0,1.8,0.6,2.7
Anthony Davis,26.7,51.1,1.2,84.5,9.4,3.1,1.5,2.4,2.5
Devin Booker,26.1,48.7,2.0,91.6,4.2,6.6,0.7,0.3,3.9
LeBron James,25.7,49.8,2.2,69.7,7.9,10.6,1.2,0.5,4.0
Zach LaVine,25.5,45.0,3.1,80.2,4.8,4.2,1.5,0.5,3.4
Brandon Ingram,24.3,46.6,2.4,85.8,6.3,4.3,1.0,0.7,3.1
Donovan Mitchell,24.2,45.3,2.5,85.9,4.4,4.2,1.0,0.2,2.7
Pascal Siakam,23.6,45.9,2.2,80.0,7.5,3.6,1.0,0.9,2.5
Jayson Tatum,23.6,44.8,2.8,80.6,7.1,2.9,1.4,0.9,2.2
CJ McCollum,22.5,45.3,2.8,75.0,4.1,4.3,0.7,0.6,1.9
DeMar DeRozan,22.2,52.6,0.1,84.3,5.6,5.6,1.0,0.2,2.4
Andrew Wiggins,21.8,44.7,2.1,70.9,5.1,3.7,0.8,1.0,2.4
Kemba Walker,21.2,42.1,3.3,86.7,4.1,4.9,0.9,0.5,2.1
Khris Middleton,21.1,49.9,2.4,90.8,6.2,4.1,0.9,0.1,2.1
Collin Sexton,20.8,47.2,1.5,84.6,3.1,3.0,1.0,0.1,2.4
